X,Y,Depth_m,Arsenic_lab
256857.309,2632323.905,14,2.8
257090.4234,2632039.205,14,1.1
257099.6582,2631981.873,13,2.6
257071.1803,2632004.513,9,2.1
257173.1526,2632004.574,14,4
257194.5077,2631660.714,14,14.1
257163.4596,2631633.533,14,9.9
257019.4346,2631558.385,11,6.6
257031.8608,2631691.145,11,6.1
257334.8878,2631719.303,11,3.4
257327.8421,2631706.568,14,1.8
256996.1779,2631588.361,14,0.9
256953.2447,2631661.107,11,2.2
256903.8371,2631554.786,9,0.9
256866.5598,2631660.679,23,1.8
256972.858,2631614.571,14,0.6
257027.816,2631650.658,11,3.9
256928.584,2631613.542,9,4.9
256931.8641,2631602.406,9,2.9
256995.9919,2631577.284,9,2.7
256859.168,2631524.178,9,4.6
256941.9656,2631596.696,18,3.6
256909.8963,2631611.972,9,25.3
256828.2153,2631605.92,14,4.7
256884.8405,2631534.827,14,3.6
256865.9401,2631623.791,14,3.6
256891.8797,2631553.214,14,5
257502.5476,2631884.587,11,5.7
257505.7577,2631875.336,14,18
257547.0301,2631800.737,14,12.7
256883.8351,2631377.831,14,7.4
257038.5537,2631482.383,14,5
256929.5729,2631569.202,18,4.2
256910.9168,2631569.515,14,4.3
257030.6817,2631517.641,14,5.4
256931.1065,2631460.142,14,4.1
256007.9309,2632851.577,21,1.6
256880.5025,2631379.77,11,20.1
256928.4522,2631399.243,11,11.2
256783.0366,2631447.892,14,16.4
256812.827,2631497.255,14,5.8
256782.9435,2631442.353,12,3.9
256817.9559,2631499.052,9,4.8
256819.1217,2631471.331,14,10.4
256792.4377,2631497.597,11,10
256741.0664,2631577.909,11,5.3
256693.3585,2631469.677,11,6
256733.2735,2631520.753,9,3.5
256788.2097,2631549.415,14,5.3
256664.9732,2631497.856,14,3.7
256682.0527,2631506.877,15,3.6
256745.4765,2631433.786,9,4.4
256678.5067,2631599.239,11,3.5
256641.2426,2631505.679,9,3.2
256707.7069,2631613.485,11,4
256717.9458,2631415.744,11,3.9
256748.2545,2631501.996,11,2.8
256767.5268,2631435.188,11,3.8
256719.7105,2631417.598,11,3.8
256681.617,2631480.955,11,3.6
256652.1776,2631446.435,11,2.7
256481.4697,2631500.942,14,11.4
256505.5028,2631517.159,14,4.8
256411.0796,2631359.961,9,5.6
