X,Y,Depth_m,Arsenic_kit
259494.4271,2634955.006,18,0
259545.413,2635078.26,10.5,0
259520.4547,2635048.757,10.5,0
259504.7797,2635025.749,9,0
259491.8066,2635042.586,10.5,0
259489.6392,2635034.865,10.5,0
258896.2341,2634847.518,13.5,0
258986.9539,2634663.175,19.5,0
258880.6129,2635255.545,19.5,0
258888.3598,2635231.039,13.5,0
262333.2185,2632757.352,18,0
262342.9749,2632792.649,25.5,0
262368.4765,2632793.338,13.5,0
262355.8623,2632770.277,18,0
262594.2097,2632569.134,12,0
262584.1435,2632577.055,13.5,0
262559.679,2632577.457,9,0
262540.5114,2632589.96,19.5,0
262559.9699,2632595.181,9,0
256897.6823,2629244.231,12,0
256782.7659,2629324.832,18,0
256579.0155,2629945.45,18,0
256765.2961,2629863.648,18,0
260605.5263,2634023.528,10.5,0
260591.5868,2634043.703,10.5,0
260533.5909,2633989.261,13.5,0
260508.1417,2633683.862,12,0
260942.6196,2633754.236,13.5,0
260944.4933,2633744.232,18,0
260939.4885,2633749.855,13.5,0
260925.4018,2633761.169,13.5,0
260832.0496,2633788.197,13.5,0
260852.3618,2633783.429,13.5,0
260796.5215,2633797.649,13.5,0
260739.5043,2633863.967,9,0
260777.6022,2633886.606,16.5,0
260779.9523,2633905.404,13.5,0
260762.6064,2633904.583,13.5,0
260747.0424,2633888.22,6,0
260745.2238,2633901.546,13.5,0
260820.1742,2633378.418,18,0
260820.4673,2633396.141,22.5,0
260929.5521,2633765.532,13.5,0
260658.9818,2633865.3,24,0
258197.8919,2633507.345,11.4,0
258244.1692,2633470.005,10.5,0
258243.298,2633478.884,13.5,0
258251.7673,2633497.58,10.5,0
258266.6867,2633475.169,7.5,0
258278.8258,2633469.426,7.5,0
258294.7821,2633509.049,10.5,0
258306.8657,2633499.983,10.5,0
258306.6806,2633488.905,7.8,0
258243.335,2633481.1,10.5,0
258184.2699,2633546.355,10.5,0
258128.1337,2633542.862,16.8,0
258251.1739,2633523.075,11.4,0
258194.7038,2633560.585,11.4,0
258210.9571,2633556.989,10.5,0
258195.6675,2633557.245,10.5,0
258193.8697,2633571.68,10.5,0
258253.0265,2633572.907,10.5,0
258273.3942,2633571.459,7.5,0
258312.3881,2633525.376,13.5,0
258311.3317,2633523.178,9,0
258268.8532,2633604.776,11.4,0
258284.1798,2633606.736,10.5,0
258301.9348,2633570.981,10.5,0
258378.1634,2633434.524,9,0
258393.026,2633469.734,11.4,0
258362.7983,2633491.292,10.5,0
258410.5394,2633480.522,13.5,0
258414.3946,2633467.161,10.5,0
258425.5515,2633463.65,10.5,0
258399.5676,2633495.11,13.5,0
258427.8107,2633537.852,9,0
258437.1711,2633487.833,9,0
258459.1872,2633524.032,9,0
258441.7664,2633518.782,10.5,0
258454.2572,2633534.086,13.5,0
258473.6425,2633534.871,10.5,0
258456.6103,2633552.884,13.5,0
258483.5379,2633577.92,9,0
258470.2684,2633577.033,13.5,0
258412.3345,2633587.974,10.5,0
258435.575,2633575.397,10.5,0
258454.6087,2633555.134,9,0
258399.8067,2633570.454,10.5,0
258417.431,2633587.889,10.5,0
258416.4117,2633587.906,10.5,0
258332.9964,2633538.329,10.5,0
258343.3006,2633544.805,10.5,0
258328.6785,2633523.996,10.8,0
258397.7681,2633570.488,10.5,0
258516.7144,2633488.721,12,0
258434.6297,2633579.845,13.5,0
258513.2272,2633585.181,10.5,0
258423.7504,2633599.972,9,0
258416.8559,2633614.492,10.5,0
258396.4143,2633611.509,9,0
258425.1028,2633619.894,9,0
258436.5557,2633634.108,9,0
258437.4825,2633628.552,9,0
258577.0365,2633559.738,12,0
258566.1201,2633577.649,9,0
258756.3148,2633732.927,7.5,0
258659.6693,2633684.677,7.5,0
258665.9145,2633692.33,7.5,0
258678.2175,2633757.5,9,0
258662.8912,2633755.54,9,0
258667.2087,2633769.872,9,0
258717.8379,2633810.026,9,0
258700.6579,2633819.177,9,0
258683.6812,2633840.513,13.5,0
258706.3643,2633855.648,9,0
258626.3469,2633704.071,9,0
258595.5973,2633816.498,13.5,0
258597.0789,2633844.175,9,0
258698.0991,2633849.137,9,0
258643.7835,2633771.371,9,0
258651.8638,2633766.804,9,0
258743.3728,2633873.867,9,0
258741.7066,2633835.113,9,0
262778.0863,2632776.643,12,0
261418.6972,2632947.477,18,0
261416.6037,2632944.187,18,0
261455.3383,2632943.548,12,0
261448.4733,2632898.232,7.5,0
261449.4744,2632897.107,7.5,0
261455.5173,2632892.575,19.5,0
261430.0887,2632896.319,13.5,0
261460.5227,2632886.953,13.5,0
261498.7495,2632917.347,10.5,0
261535.4239,2632853.585,10.5,0
261540.4293,2632847.962,10.5,0
261593.0029,2632944.603,15,0
261600.1565,2632945.593,15,0
261608.7645,2632911.102,15,0
261622.378,2632870.988,16.5,0
261535.8041,2632814.797,10.5,0
261342.0238,2632873.395,18,0
261367.8321,2632830.864,7.2,0
261370.8719,2632829.705,7.2,0
261312.1157,2632852.836,10.5,0
261294.3665,2632827.644,10.5,0
261299.3718,2632822.021,10.5,0
261294.2019,2632817.674,12,0
261265.0936,2632783.805,10.5,0
261419.0877,2632785.697,12,0
261442.0102,2632877.286,13.5,0
261441.8275,2632866.208,13.5,0
261431.5245,2632859.73,7.8,0
261409.3366,2632874.5,12,0
261407.1883,2632867.888,10.5,0
261484.8553,2632816.745,9,0
261483.1454,2632836.718,9,0
261430.2639,2632783.296,24,0
261440.6035,2632791.99,12,0
261686.5762,2633240.014,9,0
261304.0663,2632797.566,10.5,0
261428.5396,2632864.211,7.8,0
261414.0861,2632853.369,10.5,0
261429.2118,2632843.148,12,0
257652.0304,2630501.433,13.5,0
257654.8665,2630488.089,13.5,0
257659.7416,2630474.711,13.5,0
258199.8221,2630754.886,9,0
258197.0431,2630710.61,12.6,0
258208.0727,2630699.345,6.6,0
258258.3638,2630657.507,13.5,0
258276.7844,2630783.518,13.5,0
258220.1937,2630753.437,9,0
261713.2736,2633127.663,13.5,0
261644.5959,2633105.526,12,0
261649.8021,2633112.088,16.5,0
261657.4455,2633080.937,13.5,0
261703.8415,2633050.256,12,0
261642.7399,2633116.637,9,0
261580.1232,2633091.076,12,0
261568.2167,2633049.167,13.5,0
261516.5052,2633066.64,18,0
261495.282,2633078.07,12,0
261539.3503,2633091.748,15,0
261538.3858,2633095.088,15,0
261538.4223,2633097.304,15,0
261510.9006,2633097.757,15,0
258409.3862,2633655.615,18,0
258421.9509,2633675.35,13.5,0
258447.9515,2633705.941,13.5,0
258430.7915,2633655.257,13.5,0
258397.4706,2633613.708,12,0
258400.4175,2633607.01,12,0
258376.0467,2633612.957,12,0
258372.6556,2633593.069,9,0
258365.2614,2633577.68,9,0
258350.9541,2633575.703,10.5,0
258383.9605,2633598.42,13.5,0
258320.9118,2633608.338,12,0
258323.2651,2633627.136,9,0
258552.6102,2633562.362,9,0
258455.1268,2633586.151,9,0
258126.206,2633610.486,7.8,0
258129.3936,2633618.189,7.8,0
258108.8778,2633610.776,12,0
258096.1457,2633642.014,12,0
258127.9294,2633652.563,12,0
258074.2029,2633671.191,9,0
258036.8039,2633690.654,9,0
260830.0977,2633238.64,13.5,0
260833.3754,2633251.882,10.5,0
260825.8372,2633227.63,13.5,0
260825.8189,2633226.522,10.5,0
260824.6465,2633155.627,13.5,0
259662.8354,2635150.546,18,0
257064.0023,2629552.808,27,0
257000.7203,2629732.268,15,0
257005.9298,2629738.829,15,0
256978.1992,2629788.049,18,0
256947.5373,2629784.132,21,0
256942.2535,2629773.14,19.5,0
256980.5357,2629805.739,13.5,0
256970.5443,2629818.096,24,0
256960.6088,2629833.775,15,0
256945.3523,2629836.248,21,0
256994.2363,2629832.103,12,0
258302.4384,2630793.062,12,0
261620.9538,2633155.777,13.5,0
261630.7636,2633132.347,10.5,0
261633.8581,2633134.512,10.5,0
261571.771,2633141.075,18,0
261653.5759,2632846.097,10.5,0
257824.4822,2634101.977,19.5,0
258217.3471,2634000.108,18,0
258299.2234,2633957.741,22.5,0
258269.405,2633942.727,22.5,0
258074.5365,2633630.187,12,0
260918.0034,2633498.685,13.5,0
260636.116,2633223.012,18,0
260648.2928,2633219.487,10.5,0
260608.3011,2633205.744,19.5,0
260625.7945,2633215.427,22.5,0
260647.7062,2633184.039,12,0
256951.7486,2629852.761,16.5,0
256938.2896,2629840.798,13.5,0
257026.5308,2629872.56,13.5,0
257123.9787,2629723.552,18,0
257205.6738,2629668.996,15,0
257198.6667,2629676.87,27,0
257266.2751,2629694.574,9,0
257313.7305,2629605.133,9,0
257251.6824,2629554.094,9,0
257138.9158,2629580.361,28.5,0
258441.4701,2630996.841,19.5,0
258464.6041,2630977.618,13.5,0
261388.8902,2632500.321,10.8,0
261456.5842,2632771.782,18,0
257123.4256,2633276.034,9,0
257063.9134,2633253.764,18,0
260697.0114,2633144.442,13.5,0
260635.2837,2633111.114,13.5,0
260758.6886,2633051.454,9,0
260739.2712,2632925.458,13.5,0
258594.1751,2634891.343,15,0
258283.1674,2630616.095,18,0
258275.0483,2630618.446,13.5,0
258312.0518,2630513.671,13.5,0
258300.5967,2630499.457,9.6,0
258267.3616,2630463.446,12,0
258240.0934,2630479.414,13.5,0
258273.4788,2630463.344,12,0
258260.9486,2630445.824,12,0
258249.3269,2630421.641,13.5,0
258242.0792,2630415.114,13.5,0
258236.7412,2630400.798,13.5,0
258177.9804,2630362.997,18,0
256803.5006,2629830.872,13.5,0
256885.2746,2629902.632,10.5,0
256959.0743,2629924.663,13.5,0
256933.2689,2629906.259,15,0
256958.6839,2629901.4,10.5,0
256983.9502,2629887.679,21,0
256992.9777,2629878.663,12,0
257016.4279,2629878.27,13.5,0
256978.1488,2629906.614,13.5,0
257004.7134,2629909.492,25.5,0
256993.7955,2629927.404,18,0
256872.7453,2629946.057,13.5,0
256879.6034,2629929.321,13.5,0
256897.8256,2629921.258,13.5,0
256866.129,2629977.194,9,0
256918.2914,2629925.347,24,0
256969.3044,2629865.763,13.5,0
256765.3555,2629927.915,13.5,0
261254.9462,2632663.196,30,0
261238.0149,2632625.802,12,0
261603.8446,2633169.355,10.5,0
261181.0908,2632574.664,18,0
257013.2088,2633027.461,12,0
257036.9848,2632986.063,9,0
257046.1072,2633043.529,12,0
257093.2617,2633119.194,18,0
257081.3047,2633075.072,30,0
256989.4431,2632948.079,9,0
256994.8521,2632905.881,9,0
256990.5513,2632892.657,9,0
256970.4432,2632909.616,9,0
256946.1833,2632922.212,9,0
256939.0478,2632922.332,9,0
256924.2927,2632893.77,9,0
256924.2927,2632893.77,9,0
256970.9601,2632879.689,9,0
256957.5222,2632868.834,13.5,0
256976.9088,2632869.616,9,0
256965.398,2632852.081,9,0
256950.275,2632862.307,12,0
256970.0854,2632827.624,15,0
256950.9593,2632842.351,18,0
256932.4246,2632831.581,18,0
260829.56,2633144.465,13.5,0
260821.5454,2633091.412,27,0
260921.7506,2633108.592,13.5,0
260921.6773,2633104.161,13.5,0
260907.1321,2633087.781,13.5,0
260884.5238,2633077.074,13.5,0
260820.7944,2633045.994,18,0
260847.895,2633020.061,12,0
260808.0064,2632950.914,18,0
256881.8074,2630242.868,13.5,0
256935.1959,2630264.133,13.5,0
256943.4266,2630268.427,13.5,0
256927.3184,2630280.886,13.5,0
256913.3391,2630237.906,13.5,0
256950.3961,2630258.337,13.5,0
256973.7156,2630250.189,15,0
256984.4874,2630284.359,13.5,0
257000.9089,2630229.788,21,0
257014.479,2630248.397,13.5,0
257024.8232,2630257.088,13.5,0
257099.3803,2630263.594,13.5,0
258222.6897,2630414.329,18,0
258189.8982,2630404.904,13.5,0
258184.8376,2630407.205,18,0
256910.2219,2632845.251,12,0
256914.2249,2632840.752,9,0
256924.0463,2632818.425,12,0
256904.79,2632825.397,9,0
256904.9575,2632835.367,9,0
256901.6574,2632821.017,18,0
256894.5218,2632821.137,13.5,0
256891.1472,2632802.357,27,0
256888.6803,2632776.913,12,0
256884.7145,2632783.628,12,0
256870.2013,2632769.467,12,0
256861.3574,2632728.617,12,0
256753.1566,2632964.239,12,0
256738.4624,2632999.945,9,0
256740.2775,2632986.617,9,0
256720.3135,2632951.495,13.5,0
256729.1338,2632930.293,13.5,0
256733.1554,2632926.901,9,0
256730.7068,2632902.565,25.5,0
256722.4028,2632893.84,9,0
256617.1998,2633973.768,15,0
256689.6209,2632945.363,9,0
256690.4167,2632932.052,12,0
256669.1219,2632939.059,10.5,0
256684.0024,2632914.431,13.5,0
256660.6502,2632920.364,9,0
256703.9797,2632889.717,13.5,0
256688.298,2632866.711,13.5,0
256681.2742,2632873.478,9,0
256661.036,2632882.683,9,0
256657.9406,2632880.519,9,0
256658.0151,2632884.95,9,0
256674.3809,2632887.999,9,0
256663.2983,2632895.942,9,0
256682.7035,2632897.832,18,0
256691.9469,2632841.164,9,0
256710.5005,2632853.041,12,0
256699.7851,2632822.195,9,0
256712.0362,2632823.097,30,0
256749.9205,2632832.433,18,0
256638.5354,2632878.629,18,0
256618.5151,2632840.184,12,0
256644.1484,2632848.617,13.5,0
256610.1924,2632830.351,12,0
256622.108,2632811.313,13.5,0
256628.1683,2632807.887,13.5,0
256625.9432,2632796.844,9,0
256599.1972,2632782.889,12,0
256603.4424,2632792.79,12,0
256595.1197,2632782.957,9,0
256579.6427,2632772.137,9,0
256595.8409,2632765.216,18,0
256600.9191,2632764.022,12,0
256606.1837,2632773.906,21,0
256628.4292,2632823.396,10.5,0
256626.8507,2632790.18,9,0
256609.7021,2632740.605,13.5,0
256583.4965,2632758.775,9,0
256567.2611,2632763.481,12,0
256526.7098,2632777.46,9,0
256549.3038,2632787.052,12,0
256555.5133,2632792.488,12,0
256537.4629,2632810.521,12,0
256681.2777,2633116.147,30,0
256671.0469,2633114.103,30,0
256682.297,2633116.129,30,0
256670.8419,2633101.917,30,0
