Well_ID,Wp_ID.x,lat,lon,As_Result,Depth.2000,X2000,Y2000,Depth_2000,Installation_2000,As_GFAA_2000,As_MS_2000,As2014,As2015,As2015
14,690F,23.78815,90.65211,500,60,260687.8,2632729,60,1994,313,290.71,248.934,274.2,274.2
23,662F,23.78884,90.65176,200,45,260655.5,2632837,45,1999,143,172.41,112.372,NA,
83,691K,23.78498876,90.64541769,100,60,260122,2632428,60,1999,57,64.56,44.621,70.4,70.4
84,695K,23.78483092,90.64512567,25,60,260066.2,2632346,60,1995,33,42.47,17.388,23.6,23.6
101,1249H,23.78199994,90.60063662,500,55,255507,2632169,55,1996,355,410.98,308.879,NA,
107,1266H,23.78142184,90.60014938,500,45,255462.8,2632074,45,1996,285,305.95,243.995,247.2,247.2
110,1477H,23.78720158,90.60530542,50,85,255916.7,2632683,85,1995,25,33.28,19.369,16.3,16.3
112,1343H,23.78706411,90.60562628,200,45,256057.7,2632777,45,1996,218,215.44,111.783,101.2,101.2
130,1830L,23.78358,90.62753,50,40,258145.6,2632228,40,1998,21,22.46,26.983,8.1,8.1
153,1850L,23.78465,90.62727,0,47,258283,2632422,47,1998,5,6.83,1.168,1.2,1.2
156,1843L,23.78494,90.62724,50,47,258263.8,2632387,47,1990,28,25.55,19.464,16.9,16.9
166,1872L,23.78415,90.62596,100,42,258082.4,2632316,42,1990,5,6.85,31.687,22.5,22.5
173,1879L,23.784,90.62541,25,45,258055,2632300,45,1996,11,10.74,21.741,40.9,40.9
176,1887L,23.78377,90.62525,50,46,258040,2632317,46,1998,31,33.99,40.084,26.2,26.2
214,1706L,23.78096159,90.62358057,200,47,257832.4,2631997,47,1997,24,26.3,30.636,31.4,31.4
233,1910L,23.78259,90.62307,100,46,257743.2,2632154,46,1996,52,51.77,74.33,72.3,72.3
237,1920L,23.78245,90.62288,100,45,257778.7,2632142,45,1988,88,85.67,73.886,NA,
275,1946L,23.78542,90.62566,100,80,258075.5,2632510,80,1970,111,111.31,101.428,103.1,103.1
279,2016L,23.78631536,90.62358141,500,60,257852.8,2632608,60,1990,351,319.71,299.532,274.1,274.1
280,2019L,23.78617756,90.62340489,500,55,257801.3,2632580,55,1995,369,360.46,235.147,275.8,275.8
283,2025L,23.78604094,90.62329701,300,55,257820.9,2632533,55,1999,365,360.05,256.607,261.1,261.1
287,2031L,23.78607329,90.62249076,200,70,257729.5,2632553,70,1999,380,393.05,276.178,112.9,112.9
292,2043L,23.78584757,90.62192003,200,55,257657.7,2632623,55,1995,207,196.98,164.874,166.4,166.4
