X,Y,Arsenic_kit,Arsenic_lab
255803.8,2631032,0,0.1
255788.4,2631064,0,0.1
256004.2,2631268,0,0.1
262343,2632793,0,0.1
263966.9,2633214,0,0.1
260381,2631547,0,0.1
256689.6,2632945,0,0.1
256657.9,2632881,0,0.1
260807.6,2631262,0,0.1
256618.5,2632840,0,0.1
260033.2,2628648,0,0.1
256592.8,2632950,0,0.1
260306.3,2628759,0,0.1
260759.7,2631260,0,0.1
256564.6,2632827,0,0.1
256581.1,2633705,0,0.1
262307.8,2630654,0,0.1
262273.4,2630607,0,0.1
259519,2630821,0,0.1
256522.5,2632815,0,0.1
262719.8,2633394,0,0.1
262693.7,2633377,0,0.1
262711,2633360,0,0.1
262528.5,2630675,0,0.1
256414.4,2634041,0,0.1
256331.1,2632877,0,0.1
256479.1,2633093,0,0.1
256537.5,2633093,0,0.1
256446.1,2634684,0,0.1
256514.2,2634814,0,0.1
262420.3,2633091,0,0.1
259050,2631349,0,0.1
256548,2633861,0,0.290333022
262471,2633123,0,0.30154702
260603.7,2632210,0,0.318255236
263493.5,2632693,0,0.318354886
261016.9,2631337,0,0.325303445
260633.1,2632213,0,0.366853356
256555.9,2632917,0,0.388576874
263551,2632778,0,0.411148048
263958.3,2633310,0,0.444446263
262333.2,2632757,0,0.445456635
256240.3,2632888,0,0.453911181
261515.3,2627046,0,0.468359624
258387.3,2630254,0,0.50516084
263974.3,2633229,0,0.525487292
263471.2,2632763,0,0.541497545
262162.3,2632406,0,0.602274562
263909,2633350,0,0.611713299
260009.2,2628185,0,0.638755674
260183.1,2628034,0,0.638798997
256595.3,2632877,0,0.678176021
258388.5,2630388,0,0.720522686
258980.3,2631372,0,0.776367109
260170.4,2632091,0,0.814991387
260205.1,2628437,0,0.849935938
260789.2,2632247,0,0.855994709
260052.8,2628170,0,0.904389269
261407.5,2627005,0,0.948410473
259375.9,2630927,0,1.142685624
261153.9,2632534,0,1.211347985
258809.7,2631110,0,1.310088335
255930.6,2635699,0,1.388031332
262270.6,2630621,0,1.452482803
256599.2,2632783,0,1.493055017
260289.5,2628803,0,1.524240684
261402.3,2627064,0,1.674034313
260048.9,2628180,0,1.721883232
258526.9,2631323,0,1.764924359
