X,Y,Arsenic_lab2000,Arsenic_lab2014
260687.8,2632729,290.71,248.93
260655.5,2632837,172.41,112.37
260122,2632428,64.56,44.62
260066.2,2632346,42.47,17.39
255507,2632169,410.98,308.88
255462.8,2632074,305.95,244
255916.7,2632683,33.28,19.37
256057.7,2632777,215.44,111.78
258145.6,2632228,22.46,26.98
258283,2632422,6.83,1.17
258263.8,2632387,25.55,19.46
258082.4,2632316,6.85,31.69
258055,2632300,10.74,21.74
258040,2632317,33.99,40.08
257832.4,2631997,26.3,30.64
257743.2,2632154,51.77,74.33
257778.7,2632142,85.67,73.89
258075.5,2632510,111.31,101.43
257852.8,2632608,319.71,299.53
257801.3,2632580,360.46,235.15
257820.9,2632533,360.05,256.61
257729.5,2632553,393.05,276.18
257657.7,2632623,196.98,164.87
257872.1,2632034,31.67,30.21
257474.3,2632027,17.77,4.4
257386.9,2631983,47.55,47.73
257119.6,2631546,120.69,156.97
257492,2631357,31.65,9.15
257389.9,2631247,53.54,54.65
257461.7,2630666,181.56,184.95
257174.2,2630245,42.75,24.97
256676.4,2630157,64.46,67.88
256563.5,2630013,346.31,305.72
256525.1,2630056,133.84,64.66
256506.8,2630079,100.36,86.59
256422.3,2630008,23.65,33.75
256461.5,2629913,87.08,95.64
256355.4,2629972,104.4,41.4
256673.4,2629982,71.9,44.69
256387,2633761,161.28,117.82
256558.6,2633766,0.16,0.15
259300.1,2632161,122.43,85.26
259271.7,2632187,79.05,103.42
259276.7,2632185,62.56,74.68
259199.8,2632159,152.16,114.4
259589.7,2631794,121.64,144.35
259337.7,2632072,302.54,282
259009.4,2631952,305.37,220.03
258804.3,2631985,177.95,257.41
258801.7,2631824,131.97,149
256905.4,2632456,40.01,38.03
256999.5,2632497,36.54,33.2
257035.9,2632437,37.31,33.45
257043.6,2632391,59.64,52.05
256918.9,2632351,71.71,92.35
257196.7,2632095,150.9,55.75
257244.4,2632098,79.68,57.84
257311.6,2632050,18.28,14.16
257279.8,2631678,123.11,154.69
257343.5,2631727,32.96,27.23
257361.5,2631586,66.4,56.13
257399.8,2631742,38.04,26.96
257434.4,2631673,159.23,93.65
257387.6,2631718,396.36,86.07
256928.6,2631614,2.26,2.04
256859.2,2631524,1.97,1.08
257378.2,2631765,31.77,42.49
257068.4,2631840,30.56,19.55
257038.6,2631482,1.33,0.15
257030.7,2631518,1.11,0.49
256655.4,2631533,14.69,8.57
256748.3,2631502,0.6,8.77
255847.7,2631109,3.9,7.9
255741.7,2630974,41.33,21.93
255642.7,2630850,35.94,29.8
256645,2631626,0.76,0.26
256662.5,2631655,78.91,83.43
255696.3,2630698,13.9,3.23
255695.9,2630574,27.13,44.02
255793.7,2630430,27.04,6.23
259288.5,2634629,76.42,62.4
259175.1,2634553,2.44,4.45
257690.2,2634059,45.02,39.87
257843.3,2634069,21.24,17.71
258049.6,2633909,26.04,23.88
258458.5,2633667,39.95,38.2
258517.6,2633742,64.13,41.78
259190.2,2632097,240.27,251.56
258489.8,2631877,125.47,122.32
258897.4,2632879,250.05,148.84
259154.6,2632913,157.44,216.58
259260.9,2632867,37.55,33.52
258418.8,2632307,173.9,184.94
258468.1,2632304,12.43,14.97
258530.4,2632168,0.68,0.37
258545.3,2632144,11.37,14.09
258604.5,2631925,40.05,98.69
258612.5,2632099,129.4,143.58
258665,2632089,210.62,209.25
258702.4,2632193,208.25,196.89
258644.7,2632098,223.32,241.98
258860.7,2631799,162.51,228.95
258761.6,2631559,274.64,182.19
258690.8,2631501,109.47,116.81
259132.6,2631287,202.68,184.11
258659,2631322,649.49,473.34
258452,2631038,129.55,135.89
258458.1,2630997,63.92,90.02
